"id","person_name","work"
418,"Sanja Kon","VodafoneSalesforce Project Manager2011-2013"
419,"Sanja Kon","eBay for BusinessHead of European Partner Development2017-2018"
420,"Sanja Kon","PayPalHead of Marketplaces and Large Enterprise Partnerships - UK2018"
421,"Dan Held","ZeroBlockCo-Founder2013"
422,"Dan Held","Blockchain -Inc. Director of Product2013-2014"
423,"Dan Held","ChangeTipLead Mobile Product Manager2014-2015"
424,"Dan Held","UberGlobal Data2017"
425,"Dan Held","InterchangeDirector Of Business Development2017-2019"
426,"David Zacks","JPMorgan Vice-President Compliance Manager2012-2014"
427,"David Zacks","AirbnbPayments Compliance Program Manager2014-2016"
428,"David Zacks","YapstoneDirector of Payment Operations2016-2018"
429,"David Zacks","AukaHead of Risk -Compliance & Payments Operations2018-2020"
430,"Justin Sun","Ripple Chief Representative Advisor2013-2016"
431,"Huy Nguyen","Cisco SystemsSoftware Engineer2009-2012"
432,"Huy Nguyen","GoogleStaff Software Engineer2012"
433,"Ran Neuner","The Creative CounselCEO2001-2018"
434,"Mitchell Moos","CryptoSlate Editorial Manager2018-2019"
435,"Ben Zhou","Greater China General Manager2010-2017"
436,"Mati Greenspan","GoodCoinEconomic Consultant2017-2018"
437,"Mati Greenspan","eToro Senior Market Analyst2012-2019"
438,"Nicholas Merten","Sales Data Management InterniAccess -Inc.2015"
439,"Andrew Fai","Asia Blockchain SummitFounder2017-2021"
440,"Joseph Lubin","Goldman Sachs VP Technology -Private Wealth Management Division1999-2001"
441,"Joseph Lubin","Blacksmith TechnologiesDirector2001-2003"
442,"Joseph Lubin","SyNerG MusicCEO2012-2014"
443,"Milo McCloud","GB Alpine SkiingAthlete - "
444,"Paul Burnham","Toyota GBCorporate Manager - "
445,"Nicholas Gregory","JPMorgan Vice President -Global Risk2013-2015"
446,"Nicholas Gregory","Liquid OceanCTO2015-2017"
447,"Nicholas Fett","US BLSEconomist2011-2015"
448,"Nicholas Fett","US CFTCResearch2015-2017"
449,"Nicholas Fett","DaxiaCEO2017-2018"
450,"Atul Ajoy","ChromataFounder & CEO - "
451,"Adam Levy","linx4Marketing and Communications Manager2019"
452,"Adam Levy","Draper Goren Holm Operations Manager2018-2021"
453,"Brett Harrison","Citadel SecuritiesHead of ETF TechnologySep 2019 - Feb 2021"
454,"Brett Harrison","Citadel SecuritiesHead of Semi-Systematic TechnologyFeb 2021 - May 2021"
455,"Sandeep Nailwal","ScopeWeaver.comCofounder & CEOMar 2016 - Oct 2017"
456,"Sandeep Nailwal","Polygon Chief Operations OfficerNov 2017 - Dec 2021"
457,"Dominic Williams","Mirror LabsCrypto enzymeMar 2015 - Jun 201"
458,"Dominic Williams","String Labs -IncPresident & CTOJun 2015 - Feb 2018"
459,"Do Kwon","Anyfi -Inc.Founder & CEOJan 2016 - Oct 2017"
460,"Matt Huang","Hotspots -Inc.Founder/CEO2010 - 2012"
461,"Matt Huang","TwitterAds2012 - 2014"
462,"Matt Huang","Sequoia CapitalPartner2004 - 2018"
463,"Bill Shihara","MicrosoftLead Program Manager2011-2011"
464,"Bill Shihara","BlackBerryManager -Security Engineering2013-2014"
465,"Bill Shihara","AmazonManager -Security Engineering2014-2016"
466,"Catherine Coley","Morgan StanleyForeign Exchange Sales & Trading2014-2016"
467,"Catherine Coley","Silicon Valley BankForeign Exchange Advisor2016-2017"
468,"Catherine Coley","Ripple Head of XRP Institutional Liquidity2017-2019"
469,"Maxi Kuan","C ChannelGreat China Area Director / ConsultantApr 2015 - Jan 2018"
470,"Maxi Kuan","XY-STAR Entertainment Ltd.Co-Founder / COOApr 2017 - Mar 2020"
471,"Maxi Kuan","RIZAP AsiaMarketing SpecialistJun 2019 - Jun 2020"
472,"Maxi Kuan","iKalaSenior ConsultantApr 2018 - Mar 2021"
473,"Kathryn Haun","Sidley Austin LLPAttorney2001 - 2006"
474,"Kathryn Haun","U.S. Department of JusticeNational Security Division (Counsel to the AAG)2006 - 2007"
475,"Kathryn Haun","U.S. Department of JusticeCounselor to the Attorney GeneralAug 2007 - Nov 2008"
476,"Kathryn Haun","U.S. Department of JusticeAssistant U.S. Attorney & Digital Currency CoordinatorSep 2006 - May 2017"
477,"Kris Marszalek","YIYI Hong Kong LimitedCo-founder & CEONov 2009 - Jul 2010"
478,"Kris Marszalek","BEECRAZYCo-founder & CEOJul 2010 - Mar 2014"
479,"Kris Marszalek","iBuy Group LimitedCOOApr 2014 - Aug 2014"
480,"Kris Marszalek","EnsogoCEOAug 2014 - Jun 2016"
481,"Erick Pinos","MIT Media LabResearcher -Digital Currency InitiativeOct 2017 - May 2018"
482,"Erick Pinos","MIT Bitcoin ClubPresidentOct 2017 - Sep 2018"
483,"Erick Pinos","Game Theory GroupLead ResearcherFeb 2018 - Sep 2018"
484,"Mark Karpelès","Mt. Gox CEO - "
485,"Mark Karpelès","London Trust MediaCTOJan 2018 - Oct 2019"
486,"Arthur Cheong","JST CapitalCryptoasset Trading StrategistJun 2019 - Sep 2019"
487,"Arthur Cheong","Zilliqa Vice President -Growth & StrategySep 2019 - Feb 2020"
488,"Elnaz Sarraf","E Design GroupCreative DirectorSep 2008 - May 2012"
489,"Elnaz Sarraf","Creative i Advertising & Interactive MediaDesign and DevelopmentJan 2013 - Aug 2013"
490,"Elnaz Sarraf","iBabyCo-FounderNov 2013 - Mar 2019"
491,"Elnaz Sarraf","World Business Angels Investment ForumSenator - Representing U.S.Jul 2020 - Feb 2022"
492,"Cathie Wood","Capital GroupAssistant Economist1977 - 1980"
493,"Cathie Wood","Jennison Associates LLCManaging Director1980 - 1998"
494,"Cathie Wood","Tupelo Capital ServicesLimited Partner1998 - 2001"
495,"Cathie Wood","AllianceBernsteinChief Investment Officer2001 - 2013"
496,"Sam Trabucco","Susquehanna International Group -LLP (SIG)Trading InternJun 2014 - Aug 2014"
497,"Sam Trabucco","Susquehanna International Group -LLP (SIG)TraderAug 2015 - Aug 2017"
498,"Devin Finzer","Wikimedia FoundationAnalytics InternMay 2010 - Aug 2010"
499,"Devin Finzer","GoogleSoftware Engineer Intern -Google Cloud PlatformMay 2011 - Aug 2011"
500,"Devin Finzer","Flipboard Inc.Software Engineer InternJun 2012 - Aug 2012"
501,"Devin Finzer","PinterestSoftware EngineerAug 2013 - Mar 2015"
502,"Devin Finzer","Iris LabsCo-FounderApr 2015 - Jul 2015"
503,"Devin Finzer","ClaimdogCo-FounderApr 2015 - Jun 2016"
504,"Devin Finzer","Credit KarmaEngineering ManagerJun 2016 - Dec 2017"
505,"Marius van der Wijden","Perun NetworkCo-Visionaire/DeveloperJan 2018 - Feb 2020"
506,"Marius van der Wijden","Bulb UGSenior ConsultantFeb 2018 - Feb 2020"
507,"Marius van der Wijden","SM² NetworkCo-FounderMar 2018 - Feb 2020"
508,"Marius van der Wijden","EthminerOpen Source DeveloperJul 2017 - Jan 2021"
509,"Alex Atallah","DormlinkCo-FounderNov 2010 - Jun 2011"
510,"Alex Atallah","Apple Inc.Software EngineerJun 2011 - Sep 2011"
511,"Alex Atallah","hostess.fm -Inc.CTOApr 2013 - Sep 2013"
512,"Alex Atallah","Palantir TechnologiesForward Deployed EngineerMay 2012 - Jul 2014"
513,"Alex Atallah","ZugataLead Frontend EngineerJan 2015 - Jan 2016"
514,"Alex Atallah","Whatsgoodly Inc.CTOFeb 2016 - Sep 2017"
515,"Shakil Khan","Buy.at LeadsManaging Director and FounderMar 2006 - Aug 2008"
516,"Shakil Khan","PathHead of Special ProjectsApr 2012 - Dec 2012"
517,"Shakil Khan","SummlyAdvisor to Founder and InvestorNov 2011 - Mar 2013"
518,"Shakil Khan","BitstripsAdvisorOct 2013 - 2015"
519,"Shakil Khan","Top10 Investor2010 - Dec 2015"
520,"Shakil Khan","YPlanInvestorMay 2013 - 2016"
521,"Shakil Khan","CoinDesk FounderApr 2013 - Jan 2016"
522,"Shakil Khan","HuminInvestor2014 - Mar 2016"
523,"Shakil Khan","HelloInvestor & Advisor to FounderDec 2012 - 2017"
524,"Shakil Khan","Cronologics CorporationInvestorDec 2014 - 2017"
525,"Shakil Khan","inviInvestor2012 - 2018"
526,"Shakil Khan","WaygoInvestorMar 2013 - Ma 2018"
527,"Shakil Khan","DuedilInvestorApr 2012 - 2019"
528,"Shakil Khan","Student.comCo-Founder2014 - 2019"
529,"Shakil Khan","Spring Inc.Investor2014 - 2019"
530,"Shakil Khan","Meerkat - Live Stream VideoInvestorMar 2015 - 2019"
531,"Shakil Khan","ManyInvestorAug 2018 - Jan 2020"
532,"Shakil Khan","SecondMarketInvestor2010 - 2021"
533,"Shakil Khan","BitpayInvestor2012 - 2021"
534,"Shakil Khan","SkiftInvestor2013 - 2021"
535,"Shakil Khan","EVA Automation -Inc.Investor2014 - 2021"
536,"Shakil Khan","This Saves LivesInvestor2014 - 2021"
537,"Tom Brady","New England PatriotsProfessional Athlete / Quarterback2000 - 2019"
538,"Michael Ippolito","MKS InstrumentsMarketing AnalystJun 2015 - Aug 2015"
539,"Michael Ippolito","Applied Value GroupAnalystAug 2016 - Apr 2017"
540,"Michael Ippolito","Applied Value GroupConsultantApr 2017 - Jun 2018"
541,"Michael McCaffrey","Goldman Sachs Strategic Capital Group - MBDMay 2013 - Jun 2013"
542,"Michael McCaffrey","CitiInvestment BankingJun 2017 - Sep 2018"
543,"Michael McCaffrey","The Block Chief of Staff -Director of OperationsSep 2018 - Oct 2019"
544,"Michael McCaffrey","The Block COOOct 2019 - Apr 2020"
545,"Cynthia Lummis","Wyoming Supreme CourtLaw Clerk1985 - 1986"
546,"Cynthia Lummis","Private Practice AttorneyAttorney1986 - 1988"
547,"Cynthia Lummis","Wyoming Office of the GovernorGeneral Counsel1986 - 1988"
548,"Cynthia Lummis","Wyoming Office of State Lands and InvestmentsDirector -Interim1997 - 1988"
549,"Cynthia Lummis","Wiederspahn -Lummis and Liepas PCAttorney1988 - 2007"
550,"Cynthia Lummis","State of WyomingTreasurerJan 1999 - Jan 2017"
551,"Cynthia Lummis","Donald J. Trump Presidential Transition TeamVice ChairDec 2016 - Jan 2017"
552,"Cynthia Lummis","U.S. House of RepresentativesMember -At-Large Congressional District of WyomingJan 2009 - Jan 2017"
553,"Harry Horsfall","Simba SleepGrowth MarketerApr 2017 - Jul 2017"
554,"Harry Horsfall","MousMarketing ManagerJul 2017 - Jun 2018"
555,"Harry Horsfall","HKD MusicCo-FounderSep 2011 - Sep 2018"
556,"Harry Horsfall","The Global Association for Blockchain and CryptocurrencyRegional Board DirectorNov 2018 - Jan 2021"
557,"Harry Horsfall","LunoEvents Marketing ExecutiveJun 2018 - Jun 2019"
558,"Harry Horsfall","LunoVideo & Events LeadFeb 2019 - Nov 2019"
559,"Harry Horsfall","LunoDigital Media LeadJun 2019 - Dec 2020"
560,"Harry Horsfall","LunoManager - Multimedia & EventsDec 2020 - Jun 2021"
561,"Jay Cassano","Fast CompanyContributing WriterMar 2013 - Mar 2014"
562,"Jay Cassano","Fast CompanyStaff WriterMar 2014 - Jul 2015"
563,"Jay Cassano","Data & Society Research InstituteJournalist-in-ResidenceJun 2017 - Feb 2018"
564,"Jay Cassano","SludgeInvestigative JournalistMar 2018 - Nov 2018"
565,"Jay Cassano","Cointelegraph Consulting EditorAug 2019 - Oct 2019"
566,"Jay Cassano","Cointelegraph Editor-in-ChiefOct 2019 - Sep 2020"
567,"Fred Wilson","Euclid PartnersAssociate1987 - 1991"
568,"Fred Wilson","Euclid PartnersGeneral Partner1991 - 1996"
569,"Esteban Ordano","Bitpay Wallet Software EngineerAug 2014 - Apr 2015"
570,"Esteban Ordano","Smart Contract SolutionsFounderJun 2015 - Apr 2016"
571,"Esteban Ordano","Polygon AdvisorApr 2019 - Jan 2021"
572,"Esteban Ordano","Decentraland FounderMay 2017 - Apr 2020"
573,"Ari Meilich","CRVMarket Research AnalystFeb 2015 - Dec 2015"
574,"Ari Meilich","BenchriseCo-FounderJan 2016 - Aug 2017"
575,"Ari Meilich","Decentraland Co-Founder and Project LeadAug 2017 - Apr 2020"
576,"Brian Fu","EaglePicher Medical Power -Corp.Junior Mechanical Designer -Production DevelopmentMay 2006 - Sep 2006"
577,"Brian Fu","Sulzer Pumps Inc.Junior Designer -Engineering DepartmentMay 2007 - Sep 2007"
578,"Brian Fu","BloombergAnalytics RepresentativeFeb 2009 - Jul 2009"
579,"Brian Fu","Standard CharteredInternational Graduate -FX StructuringAug 2009 - Jul 2011"
580,"Brian Fu","Standard CharteredAssociate Director -Commercial Real Estate -Industries GroupJul 2011 - Apr 2016"
581,"Brian Fu","Silk Road Finance CorporationVice PresidentMay 2016 - Apr 2019"
582,"Brian Fu","China Merchants CapitalVice PresidentMay 2019 - Jan 2022"
583,"Jane Ma","Barnard CollegeSales AssociateMay 2013 - Apr 2015"
584,"Jane Ma","Credit SuisseIB Rotational Program AnalystJul 2015 - Apr 2016"
585,"Jane Ma","Credit SuissePortfolio Solutions AnalystApr 2016 - Jul 2017"
586,"Jane Ma","DeliverooOperations ManagerNov 2017 - Feb 2020"
587,"Jane Ma","DeliverooBusiness Strategy LeadFeb 2020 - Aug 2021"
588,"Jane Ma","Evercare HealthHead of ProjectsSep 2021 - Jan 2022"
589,"Janet Yellen","The White HouseChair of the Council of Economic Advisers1997 - 1999"
590,"Janet Yellen","Federal Reserve BoardPresident of the Federal Reserve Bank of San Francisco2004 - 2010"
591,"Janet Yellen","Board of Governors of the Federal Reserve BoardVice Chair of the Federal Reserve2010 - 2014"
592,"Janet Yellen","Board of Governors of the Federal Reserve BoardChair of the Federal Reserve2014 - 2018"
593,"Janet Yellen","Federal Reserve BoardMember of the Federal Reserve Board of Governors	2010 - 2018"
